1 qid:1 1:0.04651815 2:29.835556 # tt1430607
1 qid:1 1:0.2058026 2:26.51585 # tt0319343
1 qid:1 1:0.05604937 2:22.17656 # tt2990140
1 qid:1 1:0.29155895 2:19.88309 # tt0107688
0 qid:1 1:0.4510454 2:11.000656 # tt1659337
1 qid:1 1:0.4034037 2:6.855379 # tt0314331
0 qid:1 1:4.434584E-7 2:5.649186 # tt3838986
0 qid:1 1:5.3436734E-6 2:5.465048 # tt13358630
1 qid:1 1:0.049788877 2:5.290184 # tt0104940
1 qid:1 1:0.002559797 2:4.909679 # tt3626180
1 qid:1 1:0.002154099 2:4.844312 # tt6269192
1 qid:1 1:9.662626E-4 2:4.764581 # tt1519929
1 qid:1 1:0.0033907492 2:4.383854 # tt1327788
1 qid:1 1:5.019727E-4 2:4.0726504 # tt0181818
0 qid:1 1:0.029950272 2:3.3743534 # tt0435679
1 qid:1 1:0.0010664066 2:2.965854 # tt13381368
1 qid:1 1:0.0015301532 2:2.5525782 # tt13320784
0 qid:1 1:0.3207278 2:2.513183 # tt2582846
0 qid:1 1:0.053010017 2:2.4783344 # tt6472976
0 qid:1 1:0.08331131 2:2.0604005 # tt3846674
0 qid:1 1:0.011296737 2:1.2759786 # tt0156794
0 qid:1 1:0.3844644 2:1.2024908 # tt0398286
0 qid:1 1:0.20014764 2:1.1932759 # tt0448134
0 qid:1 1:0.2061488 2:0.97097826 # tt2674426
0 qid:1 1:0.5148635 2:0.87205553 # tt3783958
0 qid:1 1:0.13491839 2:0.8411379 # tt2140373
0 qid:1 1:0.527907 2:0.6712189 # tt0796366
