tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,synopsis
tt11686646,Anjuman,Anjuman,0,2013.0,117,"Drama,Romance",7.0,12.0,Yasir Nawaz,"The film is a tragedy based on a tawaif (courtesan) 'Anjuman', who born from a rich noble father and a courtesan mother. After her father's death she and her mother was abandoned by her paternal family. Her mother works as a courtesan to bring her up and wishes oneday her daughter will join the same business like her. Anjuman hides her identity and tries to overcome her situation from higher education. She joins university with her family given name Anjum Hayat Khan and started a respectful normal life. She always dreams to leave kotha after her university education and want to change her ill fate. In the University, she secretly falls in love with Asif, a classmate from noble birth. Asif was already engaged to his cousin and going to marry her soon. One day, some university boys along with Asif, get to know Anjuman's real identity during a dance show and they publish her reality in front of the whole university campus. Anjuman leaves university with humiliation for good and decides to join her mother dark profession. Suddenly, a wealthy guy comes to her life as a client and this guy in fact is the elder brother of Asif. In order to save his elder brother's marriage, Asif decides to visit Anjuman's kotha in an exchange demanded by Anjuman. Asif initially hates Anjuman but later develop affection for her when he came to know because of him, Anjuman have to quit her study and join this profession. At the end, Asif tells everything to his family and decides to marry Anjuman to save her pride and give her a social respect."
tt2884576,Fall to Rise,Fall to Rise,0,2014.0,92,Drama,8.0,36.0,Jayce Bartok,A famous principal dancer is let go from her company after an injury.
tt1010333,Departing Osaka Station at 0:00,Tabi no okurimono 0:00 hatsu,0,2006.0,109,Drama,7.0,67.0,Masaki Harada,Several strangers experiencing difficulties in their lives decide to board the train leaving Osaka station at midnight to an unknown destination. The trip becomes a journey of self-discovery that will change their lives.
tt0447545,What the Folk?... Behind the Scenes of 'Queer as Folk',What the Folk?... Behind the Scenes of 'Queer as Folk',0,2000.0,\N,Documentary,7.4,34.0,Barry Ryan,Behind the scenes of the filming of the sequel to the ground breaking drama Queer As Folk.
tt2960306,Dwarves Kingdom,Dwarves Kingdom,0,2014.0,76,"Documentary,News",7.2,20.0,Matthew Salton,"Dwarves Kingdom is a documentary film about a theme park featuring performances by little people with dwarfism who live in a fantasy recreation of a magical empire. Built by a wealthy Chinese businessman, this other-worldly kingdom, officially called World Ecological Garden of Butterfly and Little People Kingdom, is located in the mountains surrounding the city of Kunming in Western China.

—Anonymous"
tt0498387,Special Unit,Special Unit,0,2006.0,\N,Comedy,7.9,55.0,Bryan Cranston,A rebel cop (Titus) is assigned to train a squad of physically and mentally challenged officers.
tt10715268,Mister Soul: A Story About Donny Hathaway,Mister Soul: A Story About Donny Hathaway,0,2020.0,83,Documentary,8.1,40.0,David Kleijwegt,"In MISTER SOUL - A STORY ABOUT DONNY HATHAWAY director David Kleijwegt searches for the soul of legendary singer Donny Hathaway: in a poetic journey through cities like St. Louis, Chicago and New York, the film digs deeper and deeper into his life, up until its tragic end.
--
MISTER SOUL - A STORY ABOUT DONNY HATHAWAY descends into the soul of legendary American soul singer Donny Hathaway, who is seen by many musicians as an inspiration and genius. At the time of his greatest success, he was diagnosed with paranoid schizophrenia, which didn't stop him from continuing to make harmonious music. How did he balance between his madness and genius? Can there be such a thing as too much talent?Music magazine Rolling Stone called Hathaway a soul legend and Justin Timberlake thinks he is the best singer of all time. Yet few people will remember Donny Hathaway as Roberta Flack's duet partner, Stevie Wonder's predecessor or the composer who managed to mix jazz and gospel into lavish soul music. His suicide in 1979 at the age of 33 by a fall from his hotel room has condemned him to the status of a 'musician's musician'.The documentary follows the same path of life as Hathaway himself: through a poetic journey embarking on cities like St. Louis, Chicago and New York, MISTER SOUL plunges deeper and deeper into Hathaway's life, up until his tragic end. Besides his brother and sisters, singer Roberta Flack, preacher Jesse Jackson and producer James Mtume, among others, talk about the genius and madness of the singer."
tt1641810,An Angel in Doel,De engel van Doel,0,2011.0,90,Documentary,7.6,74.0,Tom Fassaert,"As the village of Doel dies a slow death under pressure from the advancing Antwerp docks, the elderly Emilienne tries to continue with her everyday life. But the village pastor Verstraete dies and her friends leave. Ultimately she is also forced to let go as well.

—Holland film"
tt12386330,Descent,Descent,0,2020.0,60,"Adventure,Biography,Documentary",8.1,33.0,Nays Baghai,"Dutch ice freediver Kiki Bosch swims in the world's coldest waters without a wetsuit as therapy for a trauma she experienced, and to inspire others."
tt7208566,The Empty Iris,The Empty Iris,0,2017.0,94,Drama,8.5,9.0,Jonny Santana,"Adam Homer, a blind teenager, and his troubled best friend Donnie Hammurabi deal with a tragic event following a house party. After the sinister night Adam begins to chase a vision he begins to have, and Donnie deals with deep-rooted guilt and plans a revenge scheme."
tt2669078,Time Framed,Time Framed,0,2016.0,\N,Drama,9.5,288.0,Sinisha Nisevic,"Time Framed tells the story of Agent Truman Black; a gun-for-hire secret operative who is entrained to protect government and corporate interests in high-stakes missions. During his latest assignment to stop the supposed heist and expulsion of a revolutionary clean energy method that brings free power across the world, he finds himself framed and becomes a whistle-blower that uncovers truths about control and corruption.

—SinFactory Media"
tt12835186,Missile from the East,Missile from the East,0,2021.0,90,Documentary,8.3,35.0,Justin Stokes,"The story of East German motorcycle racer Ernst Degner, who, at the height of the Cold War and on the cusp of achieving his life ambition to win the world championship, fled East Germany with his family in a heart-stopping escape."
tt3264898,Sir David Frost: That Was the Life That Was,Sir David Frost: That Was the Life That Was,0,2013.0,60,"Biography,Documentary",7.9,11.0,Sally Norris,"The life of Sir David Frost as told by Stephen Fry. Featuring David Frost's three sons, his friends and the political figures who were interviewed by him, who also became his friends. The story of the pioneer in broadcasting who conducted The Nixon Interviews.

—Sally Norris"
tt8110590,Waves: L'altro volto della musica italiana,Waves: L'altro volto della musica italiana,0,2018.0,53,"Documentary,Music",7.9,7.0,"Francesco Ferraris, Marco D'Almo","Moving from the definition of what indie means in Italy's music industry, an insight into the hidden aspects of the life of those who make music for a living."
tt7997016,The Substitute,Ti Shen,0,2017.0,95,Romance,7.4,37.0,Zero Chou,"To compensate the loss of Lu's brother, Lu, the captain of judo team at school, has been brought up by her mother as a substitute of her brother in Beijing. In the seemingly masculine appearance, she secretly falls in love with Nicole, the internet celebrity girl from Taiwan. Lu and Nicole meet each other in a judo competition of which the winner would have the chance to become the leading actress in an action film. Nicole wins the competition, but she disappears right before the movie start shooting. As Nicole's substitute, Lu then has the chance to play the leading actress of the action movie. But the thing is, is Lu able to find her own self-identity and be the real her in one's life?

—lesbianscene"
tt18334770,Pedro Undercover,Pedro Undercover,0,2022.0,\N,"Action,Comedy",7.0,11.0,Robert Rodriguez,"To protect the daughter of a mob boss, SENAD's top agent must go undercover as her boyfriend. Under the threatening gaze of his father-in-law, Pedro has the same chance of failing in his mission as becoming part of the family."
tt1817709,Just Sex,Just Sex,0,2010.0,59,"Comedy,Drama,Romance",7.2,12.0,William Blanchard,"Jordan is thrown into emotional confusion when his long-time girlfriend breaks up with him and a new girl named Felicia hooks up with him on a whim. His friends, who have issues of their own, attempt to aid Jordan in his recovery, but need to resolve their own relationship issues as well. Ultimately, Jordan must make a decision about the new girl in his life, and whether he is in love, or it was just sex.

—Anonymous"
tt2361369,Nippon no uso: Hôdô shashinka fukushima kikujirô 90 sai,Nippon no uso: Hôdô shashinka fukushima kikujirô 90 sai,0,2012.0,114,Documentary,8.2,7.0,Saburo Hasegawa,"The film features legendary photojournalist Kikujiro FUKUSHIMA, aged 90. Since the end of the Second World War, FUKUSHIMA has been documenting the darker and more troubling side of Japan's success story, creating an impressive oeuvre of political documentary photography that does not shun taking a close and critical look at human suffering and injustice."
tt0391924,Detaljer,Detaljer,0,2003.0,\N,Drama,7.2,14.0,Bille August,A televised play about four people in the city and their loneliness and fears of stepping outside the middle of the road.
tt0244546,Inesperado amor,Inesperado amor,0,1999.0,92,Drama,7.2,18.0,Leopoldo Laborde,"On summer break, teenage Ana meets camp monitor Roberto. When he rescues her from a river, they develop a romance at the camp, but after the season, she finds herself unable to contact him and, upon crossing paths again, discovers why."
tt4579610,El Crazy Che,El Crazy Che,0,2015.0,83,"Animation,Biography,Documentary",7.1,164.0,"Pablo Chehebar, Nicolás Iacouzzi",The unbelievable true-life story of a crazy argentine engineer who became a cold war spy by delivering semiconductor industry secrets to the Soviet Union through Cuba. Pursuing his ideals led him to unthinkable consequences.
tt1143141,William Shatner's Gonzo Ballet,William Shatner's Gonzo Ballet,0,2009.0,60,Documentary,7.6,95.0,"Andrew Swant, Patrick Buckley, Bobby Ciraldo, Kevin Layne","Legendary actor/writer/director William Shatner reinvents himself again, as his critically acclaimed album Has Been provides the basis for a new ballet from choreographer Margo Sappington."
tt6936730,TV Planet,TV Planet,0,1999.0,27,Family,8.3,6.0,Michael Spencer,"Aliens from planet Philo were studying Earth by watching television. They believed that what they saw on TV was what Earth was like. They built an exact copy of Earth as they understood it, captured three children and placed them in the model."
tt5807330,Tread,Tread,0,2020.0,89,Documentary,7.1,3150.0,Paul Solet,"Pushed to his breaking point, a master welder in a small town at the foot of the Rocky Mountains quietly fortifies a bulldozer with 30 tons of concrete and steel and seeks to destroy those he believes have wronged him."
tt0335249,The Last Days of the Board,The Last Days of the Board,0,1999.0,60,\N,7.2,5.0,,A look at the last days of James Ferman's rule as Chief Censor of the British Board of Film Classification.
tt1765750,Chasing Normality,Chasing Normality,0,2011.0,96,"Drama,Romance",7.3,9.0,Anthony Anderson,"Independent film coming early next year from WCT Entertainment.Chasing Normality is a love story set in the streets of Detroit, about two lonely people who are entangled in one night stand falls quickly for each other. On the surface this couple appears to have their priorities together, but after their tumultuous relationship grows, the truth rears its ugly head. As truth about their unique pasts leak out, will they be able to look at each other in the same way?"
tt11563882,Di Renjie: The Headless General,Di Renjie zhi wu tou shen jiang,0,2018.0,87,"Action,Adventure",7.0,5.0,Guo Yulong,"In A.D. 684, The Headless General, A giant killing party at the imperial palace of the Great Reich. One day ahead of the grand coronation of the first empress WU in Chinese history, a giant headless general appears and kills inside the royal tomb.The Empress WU request a genius detective Dee to start investigating the case."
tt6094950,A More Civil War,A More Civil War,0,2018.0,110,"Documentary,Drama,History",9.2,7.0,Geoff Yaw,"As the GOP prepares to nominate Donald Trump, one of the most controversial presidential candidates in history, activists, journalists and political operatives spend four days confronting America's divided sociopolitical landscape on the streets and inside the 2016 Republican National Convention in Cleveland, Ohio."
tt1206332,Querido Camilo,Querido Camilo,0,2007.0,52,"Documentary,War",7.4,8.0,"Daniel Ross Mix, Julio Molina","Dear Camilo is the story of Camilo Mejia, the first American soldier in the Iraq war to have deserted the military and publicly declared himself a conscientious objector. His two high school friends from Costa Rica, after ten years of no contact with him, learn of his whereabouts and confrontation with the U.S. military through the international news headlines.

—Julio Molina"
tt7235368,Filiberto,Filiberto,0,2017.0,75,"Biography,Documentary,History",8.0,23.0,Freddie Marrero,The deeds of a professional musician who abandons his trumpet and family to live the clandestine life of an armed revolutionary for Puerto Rican independence.
tt0217001,The Rest of My Life,The Rest of My Life,0,1997.0,46,Drama,8.2,22.0,Mark Lawrence,Kevin's building a sandcastle. Bob's going fishing. Donna's making a picnic. And April's getting the hell out of here because family day at the beach is really starting to suck.
tt1512237,The 10 Conditions of Love,The 10 Conditions of Love,0,2009.0,54,"Biography,Documentary,News",7.6,141.0,Jeff Daniels,"A love story - of a woman, a man, a family, a people and a homeland. It is the story of Rebiya Kadeer, China's nightmare. To her people she is a leader; to China she is a terrorist."
tt2095717,Mozart of Rap,Mozart of Rap,0,2011.0,87,Drama,8.2,77.0,Martin Bentsen,"Rob Jones learns of Darelle Sylva, who composes symphonic music and raps to it. Only problem is, his two best friends hate the idea and accuse him of going behind their back."
tt0310182,Strut!,Strut!,0,2001.0,68,Documentary,7.4,21.0,Max L. Raab,"STRUT! spotlights the world of the Philadelphia Mummers and their annual parade. Each New Year's Day, electricians, longshoremen, plumbers, cops and other working class wizards transform the City of Brotherly Love into the world capital of Surrealism. Their boundless celebration of life, liberty, and the pursuit of joy capture the heart and soul of America. The parade is a delicious melting pot of pre-colonial history, Vaudeville slapstick, cultural diversity, and 4-minute Broadway shows. But the real flavor comes from the Mummers thrmselves, who personify what we hold most dear: The mandate of freedom and self-expression... the power of family and fraternity... the lessons of the immigrant experience... and the extraordinary inclusiveness and tolerance of everyone except the competition. Shot with no script and an easy-shifting point of view, the Mummers' colorful tale is told through revealing interviews, new and vintage footage, dazzling still photos, and irresistible music.

—Anonymous"
tt6777114,12 Days,12 jours,0,2017.0,87,Documentary,7.1,488.0,Raymond Depardon,"By French law, anyone admitted into the hospital without their consent must be seen by a judge within 12 days. That judge must decide whether these psychiatric hospital patients can be allowed back into society."
tt6533312,Surfar é Coisa de Rico,Surfar é Coisa de Rico,0,2015.0,80,Documentary,8.3,6.0,Guga Sander,This documentary reflects the beginning of surfing in Brazil
tt13705634,A Leave,A Leave,0,2020.0,81,Drama,7.0,27.0,Lee Ran-hee,"Middle-aged worker Jaebok recently lost a lawsuit asking for the invalidation of his recent dismissal. Sitting in a tent in the cold weather, he and his colleagues lose their will to fight further and feel pity for not being able to relish the time off work. Jaebok returns home but what awaits him are his daughters neglecting him and the feeling of worthlessness. His misery is aggravated because he cannot provide financial support for his oldest daughter's college tuition, and a longpadded coat that his little one has always wanted. The issues that director Lee has drawn attention to in her short films are now coalesced, developed and displayed in A Leave, her feature film debut.

—JUNG Hanseok, BIFF"
tt0447535,War on Their Minds: Voices of American Kids,War on Their Minds: Voices of American Kids,0,2005.0,26,Documentary,8.9,12.0,Jennifer W. Glos,"Meet the children of America: smart, funny, patriotic, passionate, scared. They wrestle with these unsettling times, trying to understand what is right and wrong, what is necessary, what they should believe in, and what they can do. We talk to sons and daughters of soldiers in Iraq, a high school political cheerleading team that protests war, children of activist parents, and cadets at a military boarding school. From ages 4 to 18, they are Caucasian, African-American, Latino, East Asian, East Indian - a portrait of the diversity of America. They speak out passionately on 9-11, the Iraq War, and their hopes and fears for their future. They demand answers: When is war justified? Does protest work? What is worth dying for? Is world peace possible? They express themselves through words, drawings, and play-acting. War in the 21st century will be determined by the children of today. At a time when we are debating the merits and justifications of war, this is a timely and important film, one that reflects on what we're teaching the next generation, and on what they have learned.

—Jennifer W. Glos"
tt6467082,#TubeClash02,#TubeClash02,0,2016.0,86,"Animation,Comedy,Drama",7.4,21.0,DarkViktory,"After the events of #TubeClash, ten new German YouTube stars wake up in the ruins of a city, but this time team up against their captor."
tt5109000,The Manners of Downton Abbey,The Manners of Downton Abbey,0,2015.0,54,Documentary,7.4,110.0,Louise Wardle,"Detailing the daily lives, responsibilities, and dress of the upper class, Alastair Bruce, historical Downton Abbey advisor, takes us on a journey through 1900s Britain."
tt1797491,Sestre,Sestre,0,2011.0,89,"Crime,Drama,Romance",7.1,789.0,Vladimir Paskaljevic,"Two sisters from Krusevac, Serbia, decided to take part-time job in Italy, little did they know that they will become victims of human trafficking, prostitution, and well organized crime organization."
tt1226263,Yai Wanonabalewa: The Enemy God,Yai Wanonabalewa: The Enemy God,0,2008.0,100,Drama,7.2,37.0,Christopher M. Bessette,"Shake is a powerful shaman of the Yanomami people. He wields his power to heal and to protect his people against their enemies in this world and beyond. Tracing his life and the life of his community over 40 years of their history, Shake tells how he and his people grapple with new ideas that come from the outside world and the challenging decisions they make in order to maintain their identity and survive as a people.Author: Christopher Bessette"
tt0427207,Edward Said: The Last Interview,Edward Said: The Last Interview,0,2004.0,120,Documentary,8.3,44.0,Michael Dibb,"Palestinian-American intellectual Edward Said speaks about his illness (incurable leukemia), his work, Palestine and politics, his life and education, and his continuing preoccupations."
tt8948176,Tari Maate Once More,Tari Maate Once More,0,2018.0,158,Drama,8.2,160.0,Saurin Chaudhary,"This movie is about six friends, post-college when a situation brings them back together. It shows the intricacy and bonding amongst these friends. It is a full-on entertainer having the right mix of love, emotions, friendship blended in drama and comedy which will keep u glued to your seats. The events in the movie are full of surprises with foot tapping and melodious songs."
tt15567278,Cambodia,Cambodia,0,2018.0,\N,Comedy,7.0,6.0,Taha Ibn Slimane,"A classic car belonging to the boss of the local mafia goes missing from the garage of a mechanic called Kwika, who has taken it in to do some repairs."
tt3478594,Don't Look Down,Don't Look Down,0,2014.0,47,Documentary,7.5,66.0,Alex Stockley von Statzer,"This documentary follows James Kingston, an urban free climber who scales 100m cranes, 200m radio towers, tall buildings and bridges... without using any safety equipment at all"
tt0125465,Last Holiday,Posledniye kanikuly,0,1996.0,65,Drama,7.8,22.0,Amir Karakulov,"May Day in Alma Ata, 1979. Valera, Karim and Jacob are a crew of hard-partying, drug-taking teenagers looking for kicks during their spring holiday, and they break into the bar at the Highland ice rink and steal an electric guitar. When Valera's dad finds the guitar, he turns his son over to the police, who brutalize him and leave him severely wounded on the outskirts of town. Karim and Jacob kill Valera's father, then hide their friend and do their best to keep him alive.

—Anonymous"
tt8492826,Rebel Dykes,Rebel Dykes,0,2021.0,89,Documentary,7.1,197.0,"Harri Shanahan, Siân A. Williams","REBEL DYKES is a full-length documentary about the explosion that happened when punk met feminism, told through the lives of a gang of lesbians in the riotous London of the 1980s."
tt0479570,Bullshit,Zikkimin Kökü,0,1993.0,85,"Biography,Drama",7.7,311.0,Memduh Ün,"Adana, a big city in Southern Turkey, 1949. Muzo, a young man, is experiencing a terrible heartache. He is in love but his love is baffled. He will finish his studies in five or six years and wanted to marry the girl he loves only then, when he was a big man, worthy of her. But the young lady's father did not agree. He preferred any son-in-law rather than a well-read one like Muzo much later. And now that the wedding procession of the girl who will never be his passes him, Muzo remembers his childhood...

—Guy Bellinger"
tt11710090,Nussa: The Movie,Nussa: The Movie,0,2021.0,107,"Adventure,Animation,Comedy",7.9,495.0,Bony Wirasmono,Nussa's life changed when he met a new friend who was much more liked by his friends than himself.
tt9267624,The Pacifist,The Pacifist,0,2018.0,57,"Biography,Documentary",7.5,31.0,Alex Zhort,"On April 18th, 2017, Larry Bassett refused to pay federal income taxes on over $1 Million, becoming the top tax resister in US history. In his defiance, he wrote letters to U.S. government agencies and representatives, announcing that his conscience will not allow him to pay for the US war machine. He knows that breaking the law will bring retribution from the government, and he accepts the consequences of his actions. In fact, he's begging for their retaliation as his family and neighbors worry about his safety. Larry is retired now and lives alone with his extensive art collection in a loft downtown. He spends his days provoking the government with emails and phone calls, desperately trying to arouse a response from the IRS. In order to live by his personal motto that you are what you pay for he redirects his inherited wealth to individuals, causes and charities around the world. This is the remarkable story of his mission to carry on the legacy of his peace activist parents by taking a stand against war through civil disobedience."
tt4668742,Welcome Zindagi,Welcome Zindagi,0,2015.0,135,"Comedy,Drama",8.1,78.0,Umesh Ghadge,"Welcome Zindagi is a dark comedy about a girl who wants to end it all, and a boy who will change her perception of life."
